title,pubDate,link,source,timestamp_extract
A PackID monitora em tempo real a temperatura dos alimentos - Projeto Draft - inovação disruptiva,"Tue, 16 Jul 2019 07:00:00 GMT",https://projetodraft.com/fundada-por-amigos-de-infancia-a-chapecoense-packid-monitora-em-tempo-real-a-temperatura-dos-alimentos/,Projeto Draft - inovação disruptiva,1573072613
Bolsonaro assina decreto de unificação dos sites do governo em um 'portal único' - Olhar Digital,"Thu, 18 Apr 2019 07:00:00 GMT",https://olhardigital.com.br/noticia/bolsonaro-assina-decreto-de-unificacao-dos-sites-do-governo-em-um-portal-unico/84909,Olhar Digital,1573072613
Salles critica Inpe e quer empresa privada para monitorar Amazônia - Folha de S.Paulo,"Mon, 03 Jun 2019 07:00:00 GMT",https://www1.folha.uol.com.br/ambiente/2019/06/salles-critica-inpe-e-quer-empresa-privada-para-monitorar-amazonia.shtml,Folha de S.Paulo,1573072613
"Em seis meses de governo, pauta de Bolsonaro não engrena na Câmara - Metrópoles","Sun, 30 Jun 2019 07:00:00 GMT",https://www.metropoles.com/brasil/politica-br/em-seis-meses-de-governo-pauta-de-bolsonaro-nao-engrena-na-camara,Metrópoles,1573072613
"Rebatendo Governo, Inpe diz que dados do desmatamento têm 95% de precisão - O VALE","Thu, 04 Jul 2019 07:00:00 GMT",https://www.ovale.com.br/_conteudo/nossa_regiao/2019/07/82289----dados-sobre-desmatamento-tem-95--de-precisao-----diz-inpe.html,O VALE,1573072613
Governo planeja 'Tinder do emprego' para facilitar acesso a vagas - Olhar Digital,"Mon, 08 Apr 2019 07:00:00 GMT",https://olhardigital.com.br/noticia/governo-brasileiro-quer-lancar-o-tinder-do-emprego-para-facilitar-acesso-a-novas-vagas-de-trabalho/84471,Olhar Digital,1573072613
Monitores da biodiversidade compartilham experiências - ICMBio,"Wed, 03 Jul 2019 07:00:00 GMT",http://www.icmbio.gov.br/portal/ultimas-noticias/20-geral/10393-monitores-da-biodiversidade-compartilham-experiencias,ICMBio,1573072613
Bolsonaro diz que Inpe divulga dados 'mentirosos' sobre desmatamento | Cotidiano - Jornal A Crítica,"Fri, 19 Jul 2019 07:00:00 GMT",https://www.acritica.com/channels/cotidiano/news/bolsonaro-diz-que-inpe-divulga-dados-mentirosos-sobre-desmatamento,Jornal A Crítica,1573072613
"No Dia Nacional dos Surdos, governo lança o projeto Libras Gov - UOL","Thu, 26 Sep 2019 07:00:00 GMT",https://noticias.uol.com.br/ultimas-noticias/agencia-brasil/2019/09/26/no-dia-nacional-dos-surdos-governo-lanca-o-projeto-libras-gov.htm,UOL,1573072613
"Índices de desmatamento na Amazônia são manipulados, diz ministro Augusto Heleno - BBC Brasil","Wed, 03 Jul 2019 07:00:00 GMT",https://www.bbc.com/portuguese/brasil-48834802,BBC Brasil,1573072613
